value,address
   2,"EARLY ST and HARRISON STREET MORRISTOWN TOWN, NJ"
   1,"EARLY ST and LOT 6 M.P.A. DRIVEWAY MORRISTOWN TOWN, NJ"
   2,"EARLY ST and MILLIS STREET MORRISTOWN TOWN, NJ"
  12,"EARLY ST and MILLS ST MORRISTOWN TOWN, NJ"
   2,"EARLY ST and MILLS STREET MORRISTOWN TOWN, NJ"
   2,"EARLY ST and MPA LOT 6 MORRISTOWN TOWN, NJ"
   2,"EARLY ST and ROUTE 202 MORRISTOWN TOWN, NJ"
   3,"EARLY ST and SPEEDWELL AVE MORRISTOWN TOWN, NJ"
  16,"EARLY ST and US 202 MORRISTOWN TOWN, NJ"
   6,"EARLY ST MORRISTOWN TOWN, NJ"
   2,"ELLIOTT ST and SUSSEX AVE MORRISTOWN TOWN, NJ"
   4,"ELM ST and ALTAMONT CT. MORRISTOWN TOWN, NJ"
   2,"ELM ST and ALTMONT CT MORRISTOWN TOWN, NJ"
   2,"ELM ST and BLACHLEY PLACE MORRISTOWN TOWN, NJ"
   2,"ELM ST and FANKLIN STREET MORRISTOWN TOWN, NJ"
   1,"ELM ST and FRANKLIN PL. MORRISTOWN TOWN, NJ"
  18,"ELM ST and FRANKLIN ST MORRISTOWN TOWN, NJ"
   5,"ELM ST and FRANKLIN ST. MORRISTOWN TOWN, NJ"
   4,"ELM ST and FRANKLIN STREET MORRISTOWN TOWN, NJ"
   2,"ELM ST and HILL ST MORRISTOWN TOWN, NJ"
   4,"ELM ST and HILL ST. MORRISTOWN TOWN, NJ"
   5,"ELM ST and HILL STREET MORRISTOWN TOWN, NJ"
   1,"ELM ST and MORRIS ST. MORRISTOWN TOWN, NJ"
  10,"ELM ST and NJ 124 MORRISTOWN TOWN, NJ"
   4,"ELM ST and ROUTE 510 MORRISTOWN TOWN, NJ"
   2,"ELM ST and RT 124 MORRISTOWN TOWN, NJ"
   2,"ELM ST and SOUTH STREET/NJ 124 MORRISTOWN TOWN, NJ"
   1,"ELM ST MORRISTOWN TOWN, NJ"
   2,"ELM STREET and SOUTH STREET MORRISTOWN TOWN, NJ"
